000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet300,513220
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet190,110201
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet370,656966
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet150,30887.2
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet240,314819
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet110,6425.04
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet80,1282.46
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet60,238.111
000D4260-D23E-E311-A850-02163E008D77.mod,HLT_Jet30,13.0285

00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet300,1.39276e+06
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet190,111521
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet370,1.42455e+06
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet150,38443.2
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet240,384475
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet110,7635.1
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet80,1579.84
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet60,311.678
00E41BFD-D93E-E311-A91D-0025901D5DEC.mod,HLT_Jet30,14.2406

